    EventNumber         parName  parEnergy (MeV)        parWeight       pos_x (cm)       pos_y (cm)       pos_z (cm)               ux               uy               uz
             27         neutron          3.06823       0.00102133         -1.45786         -1.19216         0.501253        -0.228677        -0.734088         0.639392
             32         neutron          2.40332       0.00103485        -0.302408           1.1742         0.502062         0.549199         0.197209         0.812089
             41         neutron          1.21785       0.00104615         0.332761        -0.902392         0.503282         0.393037         0.652923         0.647467
             66         neutron          2.39609       0.00103873       -0.0141694        0.0380196         0.502484         0.479031         0.870728         0.111187
             75         neutron          2.71848       0.00101598         0.326632         0.802364         0.500941        -0.515308         0.664916        -0.540688
            121         neutron          2.54352       0.00102713        -0.848199         0.778848         0.501589         0.146986        -0.958162         0.245602
            126         neutron            6.327       0.00100099         0.678901         0.188115         0.500059        -0.770151        -0.331562         0.544917
            153         neutron          3.03759       0.00102685        -0.101743        -0.627783         0.501573         0.745082        -0.255255        -0.616196
            210         neutron         0.825028       0.00105304         0.978417         0.730414         0.504067        -0.014166        -0.564996         0.824972
            266         neutron          3.04588       0.00102552         0.190651         0.893973         0.501496         -0.07845       -0.0175348         0.996764
            289         neutron           2.8768        0.0010346        -0.914896      4.00347e-05         0.502035         0.858871         0.175954         0.481021
            312         neutron         0.864157       0.00101049      -0.00217154        -0.267363         0.500619         -0.44023         0.620719         0.648772
            350         neutron          1.19814       0.00101814        -0.346769         -0.14214         0.501067        -0.402766         -0.54102         0.738293
            353         neutron          1.95571       0.00102645        -0.505708        -0.397808         0.501549          -0.8042        -0.501279        -0.319346
            363         neutron         0.458373       0.00100146        -0.291914       -0.0962654         0.500087         0.918039       -0.0248474        -0.395711
            378         neutron          1.69529        0.0010275         -1.20284         -0.44087          0.50161        -0.878045        -0.469481        0.0928747
            380         neutron          1.06761       0.00104005        0.0693646        -0.358154          0.50262        -0.476896        -0.810143        -0.340938
            447         neutron         0.496435       0.00103914          0.25751        -0.256972         0.502521       -0.0794462         0.954183        -0.288483
            456         neutron          0.78985       0.00103968         0.479225       -0.0148218          0.50258         0.285392        -0.597307         0.749517
            480         neutron          1.12902       0.00100941         0.297864          1.06567         0.500556         0.191682         0.115909         0.974589
            489         neutron         0.963476        0.0010344         0.486781         -1.02656         0.502014         0.388945         0.873952        -0.291426
            547         neutron          1.39334       0.00101184         0.706887        -0.400798         0.500699        -0.080945         -0.77515        -0.626571
            566         neutron         0.576735       0.00103539         0.937349        -0.714013         0.502121        -0.331198         0.513927         -0.79132
            598         neutron          2.39179       0.00100046         0.778295        -0.311889         0.500027         0.805715         0.546593         0.228167
            613         neutron          0.49468       0.00102753         0.102652         0.635448         0.501612         0.532425        -0.577714         0.618684
            694         neutron         0.588619       0.00103285         0.915629        -0.752534         0.501918         0.255642       -0.0420684         0.965856
            709         neutron          4.03223       0.00101715         0.038401        -0.135255         0.501009        0.0758864         0.862741        -0.499919
            712         neutron          1.17136       0.00100918         0.486522        -0.399725         0.500542        -0.137997        -0.856244         0.497799
            719         neutron         0.836494       0.00104448         0.165188        -0.603383         0.503107       0.00544477         0.768661        -0.639633
            753         neutron          2.10546       0.00103477        -0.299138         0.308318         0.502054          0.30938        -0.397202        -0.864011
            785         neutron         0.759725      1.00989e-06          1.02278       -0.0118196         0.500636        -0.794572        -0.127964         0.593532
            823         neutron          1.73497       0.00103708         -1.16516       -0.0940525         0.502308         -0.96526        -0.143927        -0.218076
            866         neutron          3.30815       0.00100513        -0.708457         0.907981         0.500304         0.632917        -0.537142        -0.557579
            886         neutron          3.07119       0.00100554         0.280709        -0.466747         0.500328        -0.734464        -0.559011        -0.384798
            894         neutron         0.568387       0.00100958         -1.05036         0.206526         0.500566         0.530271        -0.636681         0.559867
            984         neutron          2.46098       0.00101348         -0.25413        -0.776647         0.500795        -0.543318          0.61784           0.5684
           1006         neutron         0.846249        0.0010244         0.010349         -1.34385         0.501431         0.979628        -0.196095       -0.0433028
           1024         neutron          3.57634      1.03207e-06         0.444005       -0.0833613         0.502387         0.712789         0.666715        -0.217767
           1039         neutron         0.795552       0.00103364         0.380458         0.354892         0.501963          0.49391         0.861195          0.11998
