    EventNumber         parName  parEnergy (MeV)        parWeight       pos_x (cm)       pos_y (cm)       pos_z (cm)               ux               uy               uz
            848         neutron         0.606223      0.000103144       -0.0233939        0.0100483        -0.479259         0.758144        -0.263972        -0.596269
           4077         neutron         0.222063      0.000101847        0.0220405       -0.0127783         0.832921        -0.522692        -0.529734         0.667963
           5778         neutron         0.897374      0.000100167      0.000332134       -0.0250354         -0.28986          0.41837         0.814622         0.401694
          12136         neutron         0.284038      0.000102927        0.0206034       -0.0148261         0.946845         0.388461        -0.744451         0.543038
          12496         neutron         0.356675      0.000100963        0.0131172       -0.0215883        -0.992736         0.564174        -0.677173         0.472382
          15942         neutron          1.78817      0.000100695        0.0168059       -0.0186013         0.729216        -0.250157        -0.845988         0.470879
          18864         neutron         0.433203      0.000100283       -0.0231157       -0.0100426         0.979142         0.248635          0.74121        -0.623529
          20756         neutron         0.986496      0.000101942        0.0114235         0.022354          -0.8784         0.607623         -0.70609        -0.363636
          22427         neutron         0.633729       0.00010107        0.0250277      -0.00148571         0.392325        -0.313235         0.328705         0.890975
          29629         neutron          1.32473      0.000100212        0.0127455        0.0215178        -0.106777        -0.854553         0.231477        -0.464927
          30291         neutron         0.729653      0.000102946        0.0251462      -0.00254647        -0.813203         0.476457         0.246273         0.844001
          30907         neutron         0.645844      0.000100102       -0.0204989       -0.0143198        0.0331888        -0.965834        -0.238185         0.102143
          39247         neutron         0.335477      0.000100531        0.0249374      -0.00306145         0.255645        -0.961058         0.229714        -0.153617
          40066         neutron          1.15362      0.000100116       0.00110892       -0.0250226         0.993432       0.00613804        -0.749716        -0.661731
          46146         neutron         0.487609      0.000100112         0.022284         0.011432         0.276016        -0.241238         0.954554         0.175015
          54338         neutron          1.05168      0.000101193        0.0217859        0.0127044        -0.132397        -0.944283         0.101949        -0.312947
          64771         neutron          1.05016      0.000100099       -0.0102133        0.0228298        -0.864194        -0.651051         0.758092        0.0378115
          66204         neutron         0.690778      0.000102454       0.00914318        0.0236343         0.141375        -0.357329        -0.344943         0.867946
          76297         neutron         0.785809      0.000102074        0.0222684       -0.0120169         -0.15372        -0.651825         0.126312        -0.747776
          80716         neutron         0.985777      0.000100579       0.00907889       -0.0233993         0.238322         0.362045        -0.876197        -0.318122
          86896         neutron          0.96188      0.000103076       -0.0211461       -0.0141481        0.0992414        0.0849301             0.31         0.946935
          88149         neutron          1.18054      0.000104728        0.0185485        0.0173198         0.368843        -0.590361        -0.573115        -0.568343
          94803         neutron           1.4242      0.000100716       0.00817106        0.0237151         0.612658         0.450109         0.887603        0.0977851
         105859         neutron          1.14268       0.00010053       -0.0233114      -0.00912208        -0.725429        0.0690044        -0.428193         0.901049
         105875         neutron          1.36878      0.000100593       -0.0230195       0.00998353         0.235262        -0.223513        -0.791329         0.569069
         110084         neutron          1.10519      0.000100753        0.0241505       0.00676011         0.211767         0.549428         -0.62091         0.559106
         114967         neutron          1.49225       0.00010023       -0.0247055       -0.0039385        -0.541535         0.189569         0.937944         0.290385
         120250         neutron         0.080324      0.000103178       -0.0137462        0.0210007        0.0170111        -0.131516         0.749435         0.648884
         120965         neutron          2.30144      0.000101428        0.0216053        0.0128292         0.470027         0.254623         0.767079        -0.588861
         122148         neutron          1.50521      0.000101256         0.025089     -0.000264395         0.311407        -0.105043         0.968971         0.223745
         125452         neutron         0.283738      0.000101519       -0.0177812       -0.0177844        -0.432118        -0.696054        -0.679304         0.232495
         132033         neutron          0.24274      0.000104318       -0.0254389      0.000118882         -0.56784         0.929451         0.362985        0.0660558
         134633         neutron          2.38592      0.000100632        0.0221242        0.0118061        -0.688573         0.957538        -0.236898         0.164318
         148787         neutron          1.34374      0.000103073        0.0142454         0.020982         0.182128        -0.920535         -0.29772        -0.252937
         148921         neutron          1.04234      0.000102773        0.0161086        0.0197733        -0.329893        -0.507853         0.806057        -0.303904
         150438         neutron         0.712026      0.000105239       -0.0217005        0.0140296         0.376921         0.598726           0.5588          0.57382
         151185         neutron           1.8908      0.000102902        0.0240287       0.00802237        -0.464865         0.516691        -0.803566         0.295486
         153759         neutron         0.939882      0.000101933       -0.0194472       -0.0161087         0.319903       0.00638241          0.41925        -0.907848
         158431         neutron         0.942592      0.000101312        0.0222423       -0.0117266        -0.466963         0.740384        -0.145387         0.656272
         162661         neutron          0.20381      0.000100816        0.0252238        -0.001111          0.17931        -0.424751        -0.286346        -0.858832
         172502         neutron          1.53324      0.000101047        0.0249659       0.00254568         0.194531        -0.117585        -0.576471        -0.808613
         174940         neutron         0.345588      0.000101434        0.0122084       -0.0220027         0.662641         0.856057         0.258744        -0.447457
         177754         neutron          1.40076      0.000101486       -0.0227409        0.0106135         0.878397         0.528556         0.666855         0.525294
         179848         neutron         0.976899      0.000100034       -0.0247598       0.00351418         -0.64268          -0.7817         0.207386         0.588163
         185334         neutron          0.61192      0.000105593        0.0158378        0.0202173        -0.966516         0.928752        -0.361648        0.0814229
         189071         neutron         0.836677      0.000103604      -0.00104313       -0.0255613        -0.198656        -0.363861        -0.887858        -0.281626
         195817         neutron         0.653023       0.00010229        0.0251322      -0.00115512         0.699412        -0.172257         0.667279         0.724615
         196517         neutron         0.266367      0.000100382       -0.0229475       0.00999969         -0.21312        -0.904475        0.0134948        -0.426314
         203212         neutron          1.36083      0.000101471       -0.0211707       -0.0137199         0.025047        -0.925921         0.158239         0.342972
         206715         neutron          1.55984      0.000101414        0.0237021       0.00839022         0.916406        -0.274554         0.931408         0.238956
         208412         neutron         0.587582      0.000101621        0.0248495       0.00395764         0.286614         0.136384        -0.610786        -0.779962
         215100         neutron          1.67039      0.000101413       0.00889029       -0.0234599         0.465463         0.287238         0.149656         0.946096
         219381         neutron         0.270591      0.000103725       0.00359932        -0.025352        -0.448863         0.188599        -0.635189        -0.748976
         221308         neutron          1.10297      0.000100046       -0.0246358       0.00435869         0.135059        -0.469797         -0.88204        0.0359888
         221868         neutron         0.802027       0.00010265       -0.0213578       -0.0134534        -0.565095        -0.662661         0.739558        -0.118045
         222988         neutron         0.663299      0.000102096       -0.0203958         0.015097       -0.0693058         0.570741         0.555833         0.604404
         227270         neutron          1.44784      0.000100587         0.024407       0.00590969         0.544452         0.557043         0.612929        -0.560376
         234958         neutron         0.314874       0.00010143       -0.0127517       -0.0216681        -0.544675        -0.932275        -0.284558        -0.223363
         236515         neutron          2.04778      0.000102506       -0.0245303      -0.00568501         0.354065        -0.452358          0.17692         0.874112
         240591         neutron         0.295958      0.000105239       -0.0200282        0.0161326        -0.312939         0.997122      -0.00751945       -0.0754462
         241998         neutron         0.378902      0.000100403       0.00269084       -0.0249702         0.259215        -0.675186        0.0456328         0.736234
         243583         neutron         0.469474      0.000101823       -0.0123582        0.0220957        -0.832374        -0.732414         0.171097        -0.659011
         244157         neutron          1.84795      0.000100093       -0.0249992      0.000545047         0.369995        -0.933136       -0.0433751        -0.356896
         245208         neutron         0.849173      0.000101101       -0.0116657        0.0223213        -0.144891         0.743842       -0.0552849        -0.666065
         248750         neutron          1.71416      0.000102813       -0.0218304        0.0129455          0.36311        -0.847295        -0.427214        -0.315562
         249771         neutron         0.733268      0.000103135       -0.0101046       -0.0233012         0.110675        -0.241905         0.969284        0.0443888
         253577         neutron          1.59565      0.000100208       -0.0233397       0.00904271        -0.485737        -0.957045         0.288811       -0.0255465
         264328         neutron         0.104239      0.000100193       -0.0249756       0.00138473         0.644386         0.469365         0.390073        -0.792174
         264726         neutron          1.05745      0.000106541        -0.020716       -0.0153729        -0.160062         0.116421        -0.118166         0.986145
         264834         neutron        0.0944218      0.000100334       -0.0169181        0.0184785        -0.349844        0.0137659         0.751766        -0.659286
         266023         neutron          1.48221      0.000103042      -0.00304341       -0.0248867         0.322946         0.535418        -0.684975        -0.494101
         274595         neutron         0.767518       0.00010182      -0.00360331       -0.0248652         0.254575        -0.434221         0.204487          0.87729
         280521         neutron          1.28109      0.000103498       0.00207719       -0.0251901         0.363596          0.11791        -0.980902          0.15469
         285811         neutron          1.30726      0.000101219        0.0103605        -0.022951         0.658127        -0.591887        -0.760496        -0.267048
         293752         neutron          1.39461      0.000100709       0.00304303       -0.0248567         0.512626         0.936694         0.104609         0.334157
         305991         neutron          0.30368      0.000105255       -0.0253274      -0.00489104        -0.110645         0.699599        -0.701324        -0.136773
         307452         neutron         0.949812      0.000105735       -0.0220032       -0.0130532       -0.0279481         0.700861        -0.668637        -0.248429
         314468         neutron         0.900302      0.000101639        0.0143513          0.02073        -0.360068        -0.926641        -0.178059         0.331105
         315140         neutron          1.68875      0.000100299          0.01665        0.0186586         0.275437         0.909472        -0.390828        -0.141821
         316160         neutron          0.84976      0.000102643       0.00121525       -0.0252497        0.0780715        -0.170765        -0.743655        -0.646387
