    EventNumber         parName  parEnergy (MeV)        parWeight       pos_x (cm)       pos_y (cm)       pos_z (cm)               ux               uy               uz
            985         neutron          2.44025      0.000105378       -0.0150273        0.0200793        -0.543654        -0.396698         0.871526        -0.288222
           1333         neutron         0.573126      2.82633e-08       0.00439579       -0.0283983        -0.893831        -0.192285        -0.586278         0.786959
           1482         neutron          4.52643      0.000114146      -0.00707962        0.0241645        -0.838791        -0.626332         0.632449         0.455759
           2176           gamma           2.8244       0.00010039       -0.0108744      1.93691e-06        -0.458832         0.199822        -0.856828        -0.475307
           2286         neutron          2.69765      0.000154392       -0.0257033      -0.00302479          0.80373        -0.624624         -0.29332         0.723746
           4169         neutron          1.35774      0.000108411        0.0249016      -0.00392799        -0.456334         0.976609        -0.213357        0.0267103
           4635         neutron          1.79171      0.000111504        0.0226113       -0.0108056        -0.890788         0.505852         0.446736        -0.737929
           5057         neutron          4.00067      0.000168802       0.00577273        0.0246241        -0.553491        -0.998815      -0.00389501       -0.0485041
           5338         neutron          1.03046      0.000110652      -0.00131931         0.025077       -0.0722515        -0.867642         0.491788       -0.0730827
           5349         neutron          0.33117      0.000105919       -0.0122087       -0.0185242         0.936022       -0.0766913        -0.316725         0.945412
           5710         neutron          2.39163      0.000134236       -0.0130828         0.021941        -0.355733         0.535678         0.480098        -0.694662
           6906         neutron          2.16777      2.18655e-08         0.015826       -0.0221456         0.588116        -0.168797        -0.412657         -0.89511
          10289         neutron          2.15502      0.000103197       -0.0138663        0.0153987         0.918508         0.198161        -0.951018         0.237269
          10289         neutron          2.26214      0.000103197       -0.0138663        0.0153987         0.918508         0.533444          -0.7855         0.313731
          11084           gamma          0.34375      0.000100522        -0.010215         0.013007         0.656812         0.788232         0.445015        -0.425032
          11084           gamma          4.15279      0.000100522        -0.010215         0.013007         0.656812        -0.817146        -0.434341         0.378972
          11791         neutron        0.0526506       0.00010159       0.00267184      -0.00457874        -0.178015        -0.390767        0.0201987         0.920268
          12133         neutron          1.25088      0.000103406         -0.02415      -0.00256631          0.20471          0.12001        -0.992092        0.0367501
          12531         neutron          1.52298      0.000112666        0.0250516      -0.00152806        -0.908666          0.69633        -0.712513        0.0863153
          12638         neutron          2.88829      0.000110377       0.00524087       -0.0244919         0.389781        -0.137859         0.938982         0.315132
          14497         neutron          0.21625      0.000101229         -0.01038        -0.010845         0.509339        0.0329499         0.347916        -0.936947
          14497           gamma          2.59077      0.000101229         -0.01038        -0.010845         0.509339        -0.606077         0.795368        0.0077601
          14497           gamma          2.90838      0.000101229         -0.01038        -0.010845         0.509339        0.0404892         0.344763         0.937816
          14533         neutron         0.965136      0.000175099          0.01501        0.0219009         -0.95057       -0.0712084         0.246415        -0.966545
          15820         neutron          0.71219      0.000112738       -0.0122888       -0.0223199        -0.943676         0.169603         0.568141        -0.805265
          19722           gamma          2.22127      0.000101341       -0.0101074         0.019834        -0.905156          0.95223         0.216342         0.215531
          20150         neutron          1.76568      0.000109943       -0.0188421       -0.0167814        -0.114542         0.604005         0.342825        -0.719478
          20473         neutron         0.753322      0.000101626        0.0146263        -0.020359         0.920332         0.942544         0.260248         0.209479
          20626         neutron         0.760029       0.00010117       0.00820864       0.00703576         0.300226        -0.692245         0.460892         0.555316
          21106         neutron         0.239268      0.000101282        0.0101053        0.0152897         0.450432            0.741        -0.600028         0.301472
          21971         neutron         0.861091      0.000104734      -0.00921719        0.0146297         0.209247        -0.117438        -0.399491         0.909184
          21971           gamma          1.27742      0.000104734      -0.00921719        0.0146297         0.209247        -0.143549         0.887402        -0.438077
          22604         neutron         0.255915      0.000102638       0.00755021        0.0171625       -0.0302449        -0.891305       -0.0147111         0.453165
          23380         neutron         0.687068      0.000105583        0.0163169        0.0112677        0.0965132          0.90126        -0.281036        -0.329773
          24174         neutron          1.22423      0.000180388       -0.0156689       -0.0215963         0.162895         -0.24657         0.957509        -0.149601
          25335         neutron          1.10006      0.000110115        0.0243872       0.00590665        -0.801099         -0.12057         -0.57981         0.805781
          25550         neutron         0.145292       0.00010439        0.0251519      0.000630871        -0.672318        -0.640673        -0.731528        -0.233247
          25632         neutron          2.21813      0.000101447       -0.0137986       -0.0209247        -0.485435        -0.487239         -0.39261         0.780035
          26404         neutron         0.509648      0.000115838       -0.0134322       -0.0217151        -0.480005         0.571634        -0.544127         0.614134
          27357         neutron         0.365991      0.000104306       -0.0148717      -0.00633658        -0.553944        -0.787962          0.61566       0.00886984
          27357           gamma         0.583601      0.000104306       -0.0148717      -0.00633658        -0.553944         -0.34595         0.718607         -0.60326
