    EventNumber         parName  parEnergy (MeV)        parWeight       pos_x (cm)       pos_y (cm)       pos_z (cm)               ux               uy               uz
            149         neutron         0.394208       0.00010086       -0.0185997        0.0018911        -0.408101        -0.696021         0.208038         0.687223
            149           gamma          1.20909       0.00010086       -0.0185997        0.0018911        -0.408101        -0.694213         0.219879         0.685363
           1512         neutron          3.50932      0.000107571       -0.0235304        0.0087395         0.833311        -0.235847        0.0987728         0.966757
           1731         neutron          1.65184      0.000103125       -0.0112414       -0.0225194        0.0538333         0.878378        -0.477709        0.0157006
           1763         neutron         0.434008      0.000107835      -0.00988849       -0.0235337         -0.25347        0.0386866        -0.997674       -0.0561205
           2795         neutron          2.36427      0.000101769       -0.0238383       0.00754063         0.780247         0.939717        -0.317456         0.127093
           4208         neutron          1.43645      0.000121623       -0.0217729       -0.0125974        -0.669482         0.858091          -0.4964         0.131399
           5686         neutron         0.978002      0.000130045        0.0197979       -0.0168036          0.86156        -0.415892        -0.431078         0.800753
           5914         neutron          2.10372      0.000145539        0.0247564      -0.00805844         0.156021         0.598901         -0.66267        -0.449651
           6617         neutron         0.312346      0.000110135       -0.0247599       0.00629536       -0.0157871         0.726313        -0.601972         0.331813
           6902         neutron         0.986731      0.000115103       0.00151508        0.0253619          0.71199        -0.770488        -0.625794        -0.121368
           6952           gamma          2.22767      0.000100428       -0.0141305       0.00532549         0.401378        -0.339218         0.362622        -0.868007
           7044         neutron          1.31881      0.000117341       -0.0228543       -0.0110363         0.755694         0.943501           0.2542         0.212574
           7402         neutron          1.37225      0.000146698        0.0216348        0.0156971         0.527274        -0.455008         0.890451      -0.00798926
           7853         neutron          1.85438      0.000120865        0.0204809         0.015581         0.675403        -0.701134         0.595071         0.392812
           8410         neutron         0.217473      0.000102802       -0.0250338     -6.02366e-05        -0.131066        0.0950524         0.566511         0.818554
          10153         neutron         0.170392      0.000111557        0.0242936      -0.00636602        -0.150066        -0.282809         0.652335         0.703191
          10224         neutron          3.18298      0.000131543       -0.0258865       0.00218227         0.644192        -0.952162         0.259993         0.160594
          10647         neutron         0.727988      0.000110111       0.00273609        -0.025278        -0.797432         0.326531         0.538601         0.776715
          16562           gamma          1.97289      0.000100691      -0.00619757       -0.0065525        -0.489087         -0.53414        -0.630173         0.563538
          16709         neutron          1.57207      0.000104966       -0.0244676      -0.00583461        -0.323381         0.232732        -0.693548        -0.681782
          16831         neutron           1.5162      0.000169179        0.0161573         0.020744         0.568477         -0.96256        -0.250914         0.102571
          17024         neutron          1.97126      0.000121269        0.0254418      -0.00247162        -0.441086         0.328412          0.56111         0.759803
          19641         neutron          1.31929      0.000104638       -0.0177373        -0.017745        -0.337658          0.13568        -0.165461        -0.976839
          20889         neutron          2.88038      0.000120186      -0.00902027       -0.0239821         0.297535        -0.339931          -0.9398        0.0349687
          21160         neutron            1.608      0.000125356      -0.00305446        0.0257664        -0.941366         0.405339        -0.174924         0.897275
          22456           gamma          3.01932      0.000100026       -0.0173025      -0.00909325        -0.522837         0.235991        -0.279176         0.930789
          22738         neutron         0.532878      0.000105907      -0.00618242       -0.0244624         0.567683         0.789724        -0.466638        -0.398227
          24101         neutron          1.23015      0.000110078        0.0251911      6.17767e-05         0.128965         0.416311         -0.89874        -0.137668
          24345         neutron         0.396191       0.00010418        0.0229895       -0.0101271      -0.00458611        -0.749316        -0.656961       -0.0832314
          25061         neutron         0.946212      0.000120624       -0.0129512        0.0220077        -0.972727        -0.430107        -0.682984        -0.590373
          25294         neutron           1.3305      0.000119478        0.0179033       -0.0178285        -0.292955        -0.809991         0.256456        -0.527394
          26310         neutron          1.03611      0.000120279        0.0229837         0.011226        -0.080981         0.774765          0.42867         0.464739
          26714         neutron          1.67214      0.000106844       0.00647124       -0.0242964       -0.0287457        -0.896652        -0.114983        -0.427544
