    EventNumber         parName  parEnergy (MeV)        parWeight       pos_x (cm)       pos_y (cm)       pos_z (cm)               ux               uy               uz
            376         neutron         0.954941      0.000100881        -0.297899        -0.540271        0.0229965        -0.980505         0.145077        -0.132526
            376           gamma         0.795251      0.000100881        -0.297899        -0.540271        0.0229965         0.453907         0.804075        -0.383968
           2991         neutron          0.65903      0.000100044         -2.06823        -0.621443        0.0404744        -0.649099         0.567518        -0.506551
           5536           gamma          2.01007      0.000100542        -0.622812          2.07968        0.0363929         0.331897        -0.934567        -0.128178
           7015         neutron         0.105165      0.000100617          1.85135        -0.813239         0.017641          0.48821        -0.397186         0.777107
           9250           gamma          2.08053      0.000100266          1.95079           1.3864        0.0306975        -0.816684         0.440093        -0.373291
          10894         neutron         0.402913      0.000100712         0.647592         0.932425        0.0101635          0.70893        -0.148232         0.689525
          11669         neutron          2.05205      0.000102876        -0.198519          0.56954        0.0501423          0.37284        -0.783963          0.49638
          13086         neutron         0.292011      0.000100243          1.94532          0.34878        0.0363862        -0.287533         0.941592         0.175299
          13086         neutron         0.255811      0.000100243          1.94532          0.34878        0.0363862         0.361029         0.650125         0.668577
          13086         neutron         0.188115      0.000100243          1.94532          0.34878        0.0363862         0.200007         0.734407         -0.64857
          13086         neutron          0.53095      0.000100243          1.94532          0.34878        0.0363862        -0.425552         0.825765         0.370159
          17074         neutron          1.65549      0.000100312           2.3381         0.400816        0.0332771         0.472625         0.868843        -0.147436
          19302         neutron          1.11965      0.000100596          1.24961          1.99775       0.00108906       -0.0937012        0.0342531        -0.995011
          22315           gamma          2.73085      0.000100328         0.711254         -1.41153        0.0142926         0.114289          0.20098        -0.972905
          26636           gamma          2.75575      0.000100226           -2.103         0.432615         0.048055       -0.0504731        -0.789675        -0.611446
          27750         neutron          1.13996      0.000100152          2.03346          1.19715       0.00999962         0.723012        -0.688409        0.0578544
          27750           gamma          1.40821      0.000100152          2.03346          1.19715       0.00999962        -0.299517        -0.851578        -0.430238
          28246           gamma         0.835174      0.000100959       -0.0932811         0.163423        0.0434831         0.787721        -0.603856        -0.121877
          29217           gamma          1.19066      0.000100012          1.53843          1.60278       0.00228294         0.131921        -0.629236         0.765936
          30348         neutron         0.824125      0.000109091         -1.00714         -1.07798        0.0505348        -0.494493       -0.0615826        -0.866998
          30348           gamma          2.99138      0.000109091         -1.00714         -1.07798        0.0505348         0.879135        -0.295736         0.373714
          32958         neutron         0.663661      0.000100494         -1.95119         -1.83602        0.0494122         0.913091         0.171404         0.369981
          32958           gamma          0.68531      0.000100494         -1.95119         -1.83602        0.0494122        -0.114175        -0.976827        -0.181033
          32958           gamma         0.951539      0.000100494         -1.95119         -1.83602        0.0494122         0.406779        -0.913505      -0.00630015
          32958           gamma          1.20851      0.000100494         -1.95119         -1.83602        0.0494122         0.583858          0.34763        -0.733665
          33673           gamma         0.206346      0.000100493        -0.598546         0.906776        0.0409628        -0.790749         0.544408        -0.279884
          37564         neutron          2.13961      0.000120318         0.451815          1.22439        0.0503855         0.619319         0.249771         0.744351
          37564         neutron          2.07709      0.000120318         0.451815          1.22439        0.0503855         -0.89159          -0.3716        -0.258808
          42580         neutron          1.43324      0.000100135        -0.166312          1.84591       0.00402984        -0.515402        -0.451511        -0.728353
          42580           gamma         0.918776      0.000100135        -0.166312          1.84591       0.00402984        -0.399306         0.909194         0.117988
          42933         neutron         0.703656      0.000100932         -1.53958         -2.47696        0.0253798         0.797289         0.548026        -0.252978
          44557         neutron         0.113143      0.000100164        -0.412096          1.89069        0.0315374        -0.624541        -0.729879        -0.277892
          44557           gamma          0.13815      0.000100164        -0.412096          1.89069        0.0315374         0.145353        -0.630923        -0.762108
          44581         neutron          1.33928      0.000100746          2.23047         -2.30471        0.0210644        -0.116689         0.048975         -0.99196
